Urtea,AuzoKodea,Auzoa,Langabezia Tasa,Gizonen Langabezia Tasa,Emakumeen Langabezia Tasa,16-39 adinekoen langabezia tasa,40-64 adinekoen langabezia tasa,65+ adinekoen langabezia tasa,Bertakoen langabezia tasa,Atzerritarren langabezia tasa
2019,15,MIRACRUZ-BIDEBIETA,8.73,7.65,9.85,8.96,8.77,0.00,8.17,13.78
2019,16,MIRAMON-ZORROAGA,4.09,2.47,5.89,6.94,2.86,0.00,4.10,4.00
2019,17,ZUBIETA,4.26,4.23,4.29,5.41,3.85,0.00,4.48,0.00
2019,18,LANDARBASO,,,,,,,,
2020,1,AIETE,7.69,6.89,8.53,9.99,6.85,1.27,7.46,12.42
2020,2,ALTZA,11.53,10.82,12.28,13.46,10.63,6.80,10.74,19.40
2020,3,AMARA BERRI,8.73,8.30,9.12,10.16,8.15,2.15,8.16,14.05
2020,4,ANTIGUO,7.56,7.76,7.37,9.41,6.93,0.71,7.19,13.07
2020,5,AÑORGA,7.28,5.72,8.89,7.36,7.37,0.00,6.92,13.56
2020,6,ATEGORRIETA-ULIA,8.78,7.84,9.78,9.35,8.80,0.00,7.59,23.48
2020,7,CENTRO,9.37,9.54,9.21,10.53,9.03,1.99,8.63,14.67
2020,8,EGIA,9.99,9.65,10.30,12.06,9.10,1.35,9.22,17.88
2020,9,GROS,9.70,9.41,9.97,11.54,8.93,1.34,8.77,17.43
2020,10,IBAETA,7.37,6.97,7.77,9.38,6.62,1.22,7.10,12.45
2020,11,IGELDO,7.71,7.34,8.10,7.10,8.24,0.00,7.50,11.54
2020,12,INTXAURRONDO,11.46,11.49,11.43,13.88,10.37,4.08,10.70,22.27
2020,13,LOIOLA,10.22,10.50,9.95,10.39,10.26,3.03,9.67,16.19
2020,14,MARTUTENE,10.49,10.03,10.94,12.94,9.57,0.00,9.83,17.54
2020,15,MIRACRUZ-BIDEBIETA,11.86,10.56,13.14,14.75,10.68,9.43,11.19,18.40
2020,16,MIRAMON-ZORROAGA,6.41,5.55,7.33,10.27,4.74,0.00,6.22,10.00
2020,17,ZUBIETA,8.41,8.16,8.62,14.29,6.33,,6.93,33.33
2020,18,LANDARBASO,,,,,,,,
